stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
48,1050,"Indianola at Beachwood",,47.761646,-122.550994,,,,,,0
49,1051,"Indianola at Lera Ln",,47.764459,-122.552616,,,,,,0
50,1052,"Miller Bay at W. Kingston",,47.794341,-122.541660,,,,,,0
51,1053,"Miller Bay at Silver Springs",,47.772825,-122.558413,,,,,,0
52,1054,"Miller Bay at Ivanich Loop",,47.767311,-122.561803,,,,,,0
53,1055,"Miller Bay at Wood Bay",,47.758541,-122.562307,,,,,,0
54,1056,"Miller Bay at Big Bear",,47.755380,-122.562375,,,,,,0
55,1057,"Miller Bay & Early Dawn",,47.751220,-122.562838,,,,,,0
56,1058,"Augusta at James St.",,47.735263,-122.552386,,,,,,0
57,1059,"Miller Bay at Eisenhardt",,47.755360,-122.562235,,,,,,0
58,106,"Wheaton Way at Petco",,47.604668,-122.629150,,,,,,0
59,1063,"Miller Bay & Early Dawn",,47.751221,-122.562703,,,,,,0
60,1065,"Myhre at Bucklin Hill",,47.651323,-122.676845,,,,,,0
61,1066,"North Viking Transit Center (NVTC)",,47.759440,-122.651086,,,,,,0
62,1067,"Hwy 305 at Koura",,47.664891,-122.526988,,,,,,0
63,1068,"Hwy 305 at Morgan",,47.668607,-122.529502,,,,,,0
64,1069,"Hwy 305 at Lovgreen",,47.671971,-122.531864,,,,,,0
65,1070,"Hwy 305 at Hidden Cove",,47.690473,-122.550771,,,,,,0
66,1071,"Hwy 305 at West Port Madison",,47.700760,-122.557303,,,,,,0
67,1072,"Hwy 305 at Agatewood",,47.703417,-122.558592,,,,,,0
68,1073,"Division at Pear St",,47.730437,-122.558185,,,,,,0
69,1074,"Valley Rd at Sunrise Dr",,47.664712,-122.510237,,,,,,0
70,1075,"High School at Ferncliff",,47.635807,-122.510401,,,,,,0
71,1076,"High School at Ferncliff",,47.635744,-122.510355,,,,,,0
72,1077,"Miller at Tolo",,47.653592,-122.562409,,,,,,0
73,1078,"Frey at Battle Point",,47.667244,-122.579805,,,,,,0
74,108,"Wheaton Way at Pearl",,47.597565,-122.629589,,,,,,0
